her_name,list_name,list_pos,bloc_name,bloc_start,bloc_end,bloc2_name,bloc2_start,bloc2_end,education,education_year,pol_history,session
Lotfi Nabli,Mouvement Nidaa Tounes,5ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,Maitrise en sciences techniques de l'Ecole Normale Supérieure de l'Enseignement Technique de Tunis (1989),1989,Technicien en télécommunication de l'Institut National de la Météorologie (1979) Assistant de l'enseignement supérieur à l'Ecole Nationale d'Ingénieurs de Monastir (1992) Chef de projet et directeur de services centraux au centre sectoriel de formation en électronique de Sousse (2007) Maitre assistant de l'enseignement supérieur à l'Ecole Nationale d'Ingénieurs de Monastir (2007) Maitre de conférences de l'enseignement supérieur à l'Ecole Nationale d'Ingénieurs de Monastir (2011),Première session parlementaire
Lotfi Nabli,Mouvement Nidaa Tounes,5ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,"Diplôme d'études approfondies en automatique de l'Ecole Normale Supérieure de l'Enseignement Technique de Lille, France (2000)",2e3,Technicien en télécommunication de l'Institut National de la Météorologie (1979) Assistant de l'enseignement supérieur à l'Ecole Nationale d'Ingénieurs de Monastir (1992) Chef de projet et directeur de services centraux au centre sectoriel de formation en électronique de Sousse (2007) Maitre assistant de l'enseignement supérieur à l'Ecole Nationale d'Ingénieurs de Monastir (2007) Maitre de conférences de l'enseignement supérieur à l'Ecole Nationale d'Ingénieurs de Monastir (2011),Première session parlementaire
Lotfi Nabli,Mouvement Nidaa Tounes,5ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,"Doctorat en productique, automatique et informatique industrielle de l'Université des Sciences et technologies de Lille, France (2000)",2e3,Technicien en télécommunication de l'Institut National de la Météorologie (1979) Assistant de l'enseignement supérieur à l'Ecole Nationale d'Ingénieurs de Monastir (1992) Chef de projet et directeur de services centraux au centre sectoriel de formation en électronique de Sousse (2007) Maitre assistant de l'enseignement supérieur à l'Ecole Nationale d'Ingénieurs de Monastir (2007) Maitre de conférences de l'enseignement supérieur à l'Ecole Nationale d'Ingénieurs de Monastir (2011),Première session parlementaire
Lotfi Nabli,Mouvement Nidaa Tounes,5ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,Diplôme universitaire en génie électrique de l'université de Monastir (2010),2010,Technicien en télécommunication de l'Institut National de la Météorologie (1979) Assistant de l'enseignement supérieur à l'Ecole Nationale d'Ingénieurs de Monastir (1992) Chef de projet et directeur de services centraux au centre sectoriel de formation en électronique de Sousse (2007) Maitre assistant de l'enseignement supérieur à l'Ecole Nationale d'Ingénieurs de Monastir (2007) Maitre de conférences de l'enseignement supérieur à l'Ecole Nationale d'Ingénieurs de Monastir (2011),Première session parlementaire
Brahim Nacef,Mouvement Nidaa Tounes,3ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,2016-02-20,Bloc Al Horra du Mouvement Machrouu Tounes,2016-04-20,NA,,NA,"Ancien enseignant universitaire et chercheur à la Faculté de médecine et de pharmacie de Lyon, à la faculté de Pharmacie de Monastir et de Médecine de Tunis.",Première session parlementaire
Brahim Nacef,Mouvement Nidaa Tounes,3ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,2016-02-20,Bloc Al Horra du Mouvement Machrouu Tounes,2016-04-20,NA,Doctorat d'Etat en pharmacie,NA,"Ancien enseignant universitaire et chercheur à la Faculté de médecine et de pharmacie de Lyon, à la faculté de Pharmacie de Monastir et de Médecine de Tunis.",Première session parlementaire
Brahim Nacef,Mouvement Nidaa Tounes,3ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,2016-02-20,Bloc Al Horra du Mouvement Machrouu Tounes,2016-04-20,NA,Doctorat d'Etat en pharmacie,NA,"Ancien enseignant universitaire et chercheur à la Faculté de médecine et de pharmacie de Lyon, à la faculté de Pharmacie de Monastir et de Médecine de Tunis.",Première session parlementaire
Brahim Nacef,Mouvement Nidaa Tounes,3ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,2016-02-20,Bloc Al Horra du Mouvement Machrouu Tounes,2016-04-20,NA,Doctorat d'Etat en pharmacie,NA,"Ancien enseignant universitaire et chercheur à la Faculté de médecine et de pharmacie de Lyon, à la faculté de Pharmacie de Monastir et de Médecine de Tunis.",Première session parlementaire
Brahim Nacef,Mouvement Nidaa Tounes,3ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,2016-02-20,Bloc Al Horra du Mouvement Machrouu Tounes,2016-04-20,NA,Doctorat d'Etat en pharmacie,NA,"Ancien enseignant universitaire et chercheur à la Faculté de médecine et de pharmacie de Lyon, à la faculté de Pharmacie de Monastir et de Médecine de Tunis.",Première session parlementaire
Hassouna Nasfi,Mouvement Nidaa Tounes,Tête de liste,Mouvement Nidaa Tounes,2014-12-20,2016-02-20,Bloc Al Horra du Mouvement Machrouu Tounes,2016-04-20,NA,,NA,     ,Première session parlementaire
